transaction_id,politician,ticker,transaction_type,owner,asset_type,amount_mid,log_amount_mid,disclosure_delay_days,ou_zscore,filing_date,excess_return_30d,beat_market_30d
7963,John F Reed,AAPL,Purchase,Self,,8000.5,8.987384303086046,12,-0.2239561678095367,2014-04-09,0.13173843622978731,1
7948,Susan M Collins,CAT,Sale (Partial),Spouse,,8000.5,8.987384303086046,7,0.9274625812332464,2014-04-15,-0.03362226144741598,0
7949,Susan M Collins,AMZN,Sale (Partial),Spouse,,8000.5,8.987384303086046,6,-1.139734535401754,2014-04-15,-0.0516305782666201,0
7951,Susan M Collins,M,Purchase,Spouse,,8000.5,8.987384303086046,8,-0.51339096531608,2014-04-15,-0.0169139058383867,0
7940,John Hoeven,ABBV,Purchase,Self,,75000.5,11.22526339231845,23,0.05193919657224625,2014-04-23,0.06556855288600794,1
7936,Sheldon Whitehouse,V,Purchase,Joint,,8000.5,8.987384303086046,17,-0.8930487839589956,2014-04-28,0.017036791456199518,1
7937,Sheldon Whitehouse,C,Purchase,Joint,,8000.5,8.987384303086046,39,-0.15026086591683302,2014-04-28,-0.003743361114688426,0
7938,Sheldon Whitehouse,SLB,Purchase,Joint,,8000.5,8.987384303086046,39,0.7788494389326978,2014-04-28,0.005071663055292053,1
7921,Susan M Collins,BAC,Sale (Partial),Spouse,,8000.5,8.987384303086046,7,-1.8881619447491538,2014-04-29,-0.015223166831584756,0
7922,Susan M Collins,COP,Purchase,Spouse,,8000.5,8.987384303086046,7,1.0461199271221617,2014-04-29,0.05915957091320623,1
7923,Susan M Collins,GS,Sale (Partial),Spouse,,8000.5,8.987384303086046,6,-0.15604432643002286,2014-04-29,0.007248156365195824,1
7926,Susan M Collins,COP,Purchase,Spouse,,8000.5,8.987384303086046,12,1.0461199271221617,2014-04-29,0.05915957091320623,1
7931,Susan M Collins,GOOG,Sale (Partial),Spouse,,8000.5,8.987384303086046,19,-0.7033449783338607,2014-04-29,0.020821778688978165,1
7932,Susan M Collins,DAL,Purchase,Spouse,,8000.5,8.987384303086046,19,1.2157825471516468,2014-04-29,0.06986746703157687,1
7933,Susan M Collins,GILD,Sale (Partial),Spouse,,8000.5,8.987384303086046,15,1.248514426851535,2014-04-29,0.021884406483851038,1
7935,Susan M Collins,DAL,Purchase,Spouse,,8000.5,8.987384303086046,18,1.2157825471516468,2014-04-29,0.06986746703157687,1
7920,John F Reed,KO,Sale (Full),Joint,,8000.5,8.987384303086046,9,1.0419010221586087,2014-05-01,-0.04085096573456637,0
7900,John Hoeven,BA,Purchase,Self,,175000.5,12.072549824297488,10,0.6671678201797069,2014-05-08,-0.03229329395828384,0
7901,John Hoeven,ABBV,Purchase,Self,,75000.5,11.22526339231845,10,1.232364273181102,2014-05-08,-0.021959407249593665,0
